CustomerId,Prefix,FirstName,SecondName,LastName,BirthDate,MaritalStatus,Occupation,Children,Salary
11020,Mr.,Ajas,Menon,Z,1990-05-15,M,Engineer,0,98511
12920,Mrs.,Jamal,Nair,S,1988-03-10,S,Doctor,1,36628
11020,Mr.,Ajas,Menon,Z,1991-06-20,M,Teacher,2,40346
12920,Mrs.,Jamal,Nair,S,1989-08-25,S,Artist,3,68341
11020,Mr.,Ajas,Menon,Z,1992-04-12,M,Scientist,1,139999
12920,Mrs.,Jamal,Nair,S,1987-11-09,S,Manager,1,121115
11020,Mr.,Ajas,Menon,Z,1990-02-18,M,Developer,1,145237
12920,Mrs.,Jamal,Nair,S,1986-10-05,S,Writer,1,94074
11020,Mr.,Ajas,Menon,Z,1991-07-30,M,Nurse,3,125233
12920,Mrs.,Jamal,Nair,S,1987-12-13,S,Chef,4,130938
11020,Mr.,Ajas,Menon,Z,1992-03-04,M,Designer,1,115591
12920,Mrs.,Jamal,Nair,S,1986-09-21,S,Pilot,1,65068
11020,Mr.,Ajas,Menon,Z,1990-06-08,M,Musician,2,135236
12920,Mrs.,Jamal,Nair,S,1989-01-22,S,Architect,1,116194
11020,Mr.,Ajas,Menon,Z,1991-08-17,M,Photographer,1,144626
12920,Mrs.,Jamal,Nair,S,1987-04-30,S,Soldier,3,59136
11020,Mr.,Ajas,Menon,Z,1992-09-14,M,Farmer,4,68740
12920,Mrs.,Jamal,Nair,S,1986-05-07,S,Technician,1,42695
11020,Mr.,Ajas,Menon,Z,1990-12-02,M,Lawyer,1,69484
12920,Mrs.,Jamal,Nair,S,1988-11-19,S,Driver,2,121544
