CustomerId,Prefix,FirstName,SecondName,LastName,BirthDate,MaritalStatus,Occupation,Children,Salary
79875,Mr.,Sarah,Jones,Wilson,1990-02-15,M,Nurse,2,48772
15440,Mr.,Jane,Martinez,Wilson,1990-04-11,M,Chef,1,140159
47773,Mrs.,Michael,Johnson,Taylor,1990-06-01,S,Chef,4,71012
51566,Mr.,Chris,Johnson,White,1990-08-13,S,Chef,0,104242
20371,Mrs.,Jane,Davis,Taylor,1990-04-06,M,Artist,2,129772
43576,Mrs.,Jane,Garcia,Moore,1990-05-17,M,Driver,4,33928
22775,Mr.,Sarah,Johnson,Lewis,1990-11-02,M,Artist,0,98461
83893,Mrs.,David,Williams,Moore,1990-05-18,M,Developer,1,56082
49048,Mrs.,Chris,Martinez,Taylor,1990-05-04,M,Nurse,1,79490
55598,Mrs.,Sarah,Miller,Taylor,1990-01-09,S,Doctor,3,68316
34819,Mr.,David,Miller,White,1990-06-17,M,Teacher,0,34118
95411,Mrs.,Emma,Garcia,Lewis,1990-02-23,S,Engineer,3,108610
66147,Mr.,John,Williams,Wilson,1990-12-17,M,Manager,2,61237
86145,Mr.,Emma,Brown,Taylor,1990-02-22,M,Scientist,0,31112
76376,Mr.,Laura,Miller,Jackson,1990-09-22,S,Engineer,2,128258
83624,Mr.,Chris,Miller,Lewis,1990-06-10,M,Teacher,0,65851
24568,Mrs.,Michael,Johnson,White,1990-03-07,S,Engineer,4,88102
11071,Mr.,Emma,Smith,Anderson,1990-05-04,S,Artist,0,110583
23336,Mrs.,Jane,Jones,Harris,1990-01-17,S,Driver,0,95373
86471,Mrs.,James,Martinez,Moore,1990-02-08,M,Scientist,3,61657
